UniqueID,Product ID,Product Name,Reviews Text,Rating Stars 
1,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",The camera is next level But I'm facing some major heating issues and battery drain issuesBut camera OG,4
2,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Camera quality is amazing,5
3,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Awesome photography like apple must buy don't go with negative review Only issue with heating normally heat,5
4,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)","Camera and display is superb  But bettary is a drawback , could be betterHeating is a issue with itOver all phone is awesome except bettary and heating One star cut for that",4
5,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Awesome phone ,5
6,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)","The camera is aswome, battery is big problem this phone, after new update heating issue 50 solved Nice design premium look, overall good phone this budget If you are hardcore gamer this phone not for You if you are looking nice camera, nice design, good looking, you can go this phone",4
7,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",This photo is the best camera phone under 40k Fully satisfied with the telephoto imagesAnd the quality of the videos is just awesome You can shoot 4k 60fps video with ultrawide lens tooOne thing that you will have to compromise with is it's battery On 80 charge it can give you upto 5hrs of SOTOverall performance  8/10,5
8,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Have your charger always with u ,4
9,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",After Using 1 month  i probably say this phone is value for moneyPerformance is very good  I'm  playing Genshin impact very smoothly (30GB Game)Camera is better enough to compare with  iphone usersBattery is good but it can be better if they give 5000mahDelivery service of Flipkart Ekart Halol hub is very bad they don't  Deliver at your home and they call you to pickup at there office,5
10,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Everything is okay but there is heating issue with this phone,4
11,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)","It's an excellent phone with great display, performance, camera It ticks almost all the boxesI faced heating issues for first 2 days while updates where happeningCons:Battery life First 2 days, it was not even lasting one day, now it improved and lasting one day but barely",4
12,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",awesome Displayoutstanding could be better Performancebest,5
13,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Nice,4
14,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Battery last Max a day with moderate use Rest is best,5
15,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)","Brought  Samsung  galaxy  S23 fe 15 days agoCamera  Quality  is good  , Battery  last for 1 , touch  is Quite  soft , overall  Gives  a premium  look nice phone",4
16,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Bought this for mom so far good Bezel are thick overall performance is good Camera is good,4
17,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Battery drains fastbut all other features are top notchthis is my first Samsung mobileI am satisfied  ,5
18,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)","the Samsung Galaxy S23 FE 128GB variant delivers an almost flagshiplevel experience with its stunning display, powerful performance, and versatile camera system The only significant drawback is the battery life, which might not suffice for power users Nevertheless, for those seeking a highquality smartphone at a reasonable price, the Galaxy S23 FE is a compelling choice that offers great value for moneyOverall, despite the battery backup issue, my experience with the Samsung Galaxy S23 F",5
19,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Battery very worst,3
20,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)","The camera side is super ok but battery performance is very bad im charging this mobile twice daily,mobile heating is one oth major problem in this mobile you can't bear that heat due to back side glass,if you use glash its also get heated within a few minutes,design is ok,touch screen is very much adaptive,display is also goodif samsung overcome these above issues then it will be the best phone for ever otherwise its waste of money as per my opinion",3
21,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)","This phone shouldn't be sold in col regions, I mean the heat produced by this phone could warm up an entire village",3
22,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Overall phone is good for normal use but there's heating issue if you use it for long time,3
23,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Camera is awesome  loved it  If you want to buy for camera don't hesitate Design is mind blowing ,5
24,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Out Standing Performance By Camera And Display But Battery Not Up To The Mark And Also Little Bit Heat,4
25,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)","Overall a good phone for regular usage Premium feel, fantastic display, fantastic speakers, fantastic camera Bezels are little thick but wont bother you in regular usage Phone not meant for gaming",5
26,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)","Pros:1 Camera flagship level2 Display excellent3 Sound decent4 Software/UI excellentCons:1 Battery life is poor Requires to be charged 2 times in a dayHad m51 previously which easily lasted for 2 days on medium usage even after 3 yearsThis one is a very step down from that2 Phone gets heated on medium usage (excluding gaming), but still manageable",5
27,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Look and design of the phone is quite premium The Performance of the phone is great Display quality is very good and smooth Camera quality is amazing but the battery backup and heating problem is a little bit poor,4
28,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Good mobile you will not regret after buying it Ai Features are worth metioning Battery is little low but thats good in this price Camera is awesome Processor is also good,5
29,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Very nice love it,5
30,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Camera is good but mobile heating issue,4
31,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)","Overall, good phone except the heating issues",5
