UniqueID,Product ID,Product Name,Reviews Text,Rating Stars ,Sentiment_Score,Sentiment
1,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",The camera is next level But I'm facing some major heating issues and battery drain issuesBut camera OG,4,0.03125,Positive
2,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Camera quality is amazing,5,0.6000000000000001,Positive
3,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Awesome photography like apple must buy don't go with negative review Only issue with heating normally heat,5,0.2125,Positive
4,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)","Camera and display is superb  But bettary is a drawback , could be betterHeating is a issue with itOver all phone is awesome except bettary and heating One star cut for that",4,1.0,Positive
5,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Awesome phone ,5,1.0,Positive
6,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)","The camera is aswome, battery is big problem this phone, after new update heating issue 50 solved Nice design premium look, overall good phone this budget If you are hardcore gamer this phone not for You if you are looking nice camera, nice design, good looking, you can go this phone",4,0.4170454545454545,Positive
7,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",This photo is the best camera phone under 40k Fully satisfied with the telephoto imagesAnd the quality of the videos is just awesome You can shoot 4k 60fps video with ultrawide lens tooOne thing that you will have to compromise with is it's battery On 80 charge it can give you upto 5hrs of SOTOverall performance  8/10,5,0.8333333333333334,Positive
8,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Have your charger always with u ,4,0.0,Neutral
9,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",After Using 1 month  i probably say this phone is value for moneyPerformance is very good  I'm  playing Genshin impact very smoothly (30GB Game)Camera is better enough to compare with  iphone usersBattery is good but it can be better if they give 5000mahDelivery service of Flipkart Ekart Halol hub is very bad they don't  Deliver at your home and they call you to pickup at there office,5,0.31714285714285717,Positive
10,MOBGVTA2836DQWTT,"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)  (8 GB RAM)",Everything is okay but there is heating issue with this phone,4,0.5,Positive
